fdc_id	name	Protein	Lipids	Saturated Fats	Monounsaturated Fats	Polyunsaturated	Carbohydrates	Total Sugars	Dietary Fiber	Water	Calcium	Iron	Magnesium	Phosphorus	Potassium	Sodium	Zinc	Copper	Iodine	Manganese	Selenium	Vitamin A	Vitamin E	Vitamin D	Vitamin C	Thiamin	Riboflavin	Niacin	Pantothenic acid	Vitamin B-6	Folate, total	Vitamin B-12	Choline	Vitamin K	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Histidine
321358	Hummus, commercial	7.35	17.1	2.22	6.37	7.48	14.9	0.34	5.4	58.7	41	2.41	71.1	166	289	438	1.38	0.348	0	1.06	16.2	1	1.74	0	0	0.15	0.115	0.948	0.318	0.143	36	0	46.6	17.2	0	0	0	0	0	0	0	0	0
321359	Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D	3.35	1.9	1.11	0.4	0.058	4.91	4.89	0	89.1	126	0	12	103	159	39	0.43	0.001	39.6	0.001	1.8	83	0.03	1.1	0	0.059	0.137	0.112	0.39	0.061	2	0.55	18.2	0	0.042	0.162	0.173	0.335	0.293	0.089	0.163	0.213	0.099
321360	Tomatoes, grape, raw	0.83	0.63	0	0	0	5.51	0	2.1	92.5	11	0.33	11.9	28	260	6	0.2	0.058	0	0.121	0	0	0.98	0	27.2	0.075	0.065	0.805	0	0.06	10	0	9.8	4.2	0	0	0	0	0	0	0	0	0
321611	Beans, snap, green, canned, regular pack, drained solids	1.04	0.39	0	0	0	4.11	1.29	0	93.6	36	0.78	12.7	23	97	282	0.19	0.041	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
321900	Broccoli, raw	2.57	0.34	0.039	0.011	0.017	6.29	1.4	2.4	90	46	0.69	21	67	303	36	0.42	0.059	0	0.197	1.6	8	0.15	0	53.3	0.077	0.114	0.639	0.61	0.191	65	0	0	102	0.033	0.088	0.079	0.129	0.135	0.038	0.117	0.125	0.059
322228	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D	3.38	0.95	0.568	0.21	0.032	5.19	4.96	0	89.7	126	0	12	103	159	39	0.43	0.001	36.2	0	2.1	58	0.02	1.1	0	0.057	0.14	0.113	0.368	0.06	2	0.61	17.4	0	0.045	0.158	0.174	0.342	0.308	0.092	0.168	0.21	0.099
322559	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	3.43	0.08	0.049	0.017	0.006	4.89	5.05	0	90.8	132	0	12.5	107	167	41	0.45	0.002	35.7	0.001	2	64	0	1.1	0	0.056	0.131	0.118	0.388	0.058	2	0.58	18.2	0	0.048	0.166	0.182	0.347	0.302	0.093	0.168	0.222	0.101
322892	Milk, whole, 3.25% milkfat, with added vitamin D	3.28	3.2	1.86	0.688	0.108	4.67	4.81	0	88.1	123	0	11.9	101	150	38	0.41	0.001	37.9	0	1.9	32	0.05	1	0	0.056	0.138	0.105	0.362	0.061	0	0.54	17.8	0	0.043	0.154	0.173	0.333	0.298	0.09	0.161	0.207	0.097
323121	Frankfurter, beef, unheated	11.7	28	11.4	12.1	0.954	2.89	1.26	0	54.6	15	1.14	11.5	128	343	872	2.06	0.046	0	0.031	0	3	0.51	0	0	0.033	0.154	2.25	0.263	0.13	0	0.97	0	0	0	0	0	0	0	0	0	0	0
323294	Nuts, almonds, dry roasted, with salt added	20.4	57.8	4.56	34.2	14.5	16.2	4.17	11	2.2	273	3.17	258	456	684	256	2.8	0.87	0	2.02	0	2	19	0	0	0.079	1.57	3.1	0.237	0.075	35	0	60.8	0	0	0	0	0	0	0	0	0	0
